date,sise,trading
2012.06.27,3550 ,14171 
2012.06.28,3530 ,24586 
2012.06.29,3560 ,20056 
2012.07.02,3590 ,30497 
2012.07.03,3670 ,42341 
2012.07.04,3740 ,42634 
2012.07.05,3770 ,64257 
2012.07.06,3675 ,29154 
2012.07.09,3645 ,23708 
2012.07.10,3665 ,14897 
2012.07.11,3685 ,14530 
2012.07.12,3715 ,26442 
2012.07.13,3605 ,26638 
2012.07.16,3620 ,21917 
2012.07.17,3620 ,7893 
2012.07.18,3620 ,12099 
2012.07.19,3620 ,11657 
2012.07.20,3630 ,4489 
2012.07.23,3585 ,20227 
2012.07.24,3455 ,20754 
2012.07.25,3400 ,30405 
2012.07.26,3350 ,11065 
2012.07.27,3440 ,25127 
2012.07.30,3490 ,3723 
2012.07.31,3530 ,33410 
2012.08.01,3470 ,14499 
2012.08.02,3490 ,18682 
2012.08.03,3430 ,10878 
2012.08.06,3450 ,22254 
2012.08.07,3450 ,9010 
2012.08.08,3460 ,17983 
2012.08.09,3470 ,8144 
2012.08.10,3480 ,17239 
2012.08.13,3540 ,19656 
2012.08.14,3570 ,23569 
2012.08.16,3625 ,43538 
2012.08.17,3670 ,36628 
2012.08.20,3615 ,48646 
2012.08.21,3620 ,26594 
2012.08.22,3620 ,10571 
2012.08.23,3610 ,17498 
2012.08.24,3600 ,8982 
2012.08.27,3595 ,32664 
2012.08.28,3590 ,53076 
2012.08.29,3630 ,30765 
2012.08.30,3625 ,8279 
2012.08.31,3660 ,27739 
2012.09.03,3755 ,63351 
2012.09.04,3705 ,63244 
2012.09.05,3665 ,93337 
2012.09.06,3730 ,48478 
2012.09.07,3795 ,66777 
2012.09.10,3820 ,61468 
2012.09.11,3985 ,278744 
2012.09.12,4075 ,115010 
2012.09.13,4050 ,46780 
2012.09.14,4070 ,57199 
2012.09.17,4105 ,73050 
2012.09.18,4630 ,488564 
2012.09.19,4495 ,223870 
2012.09.20,4555 ,251275 
2012.09.21,4470 ,88117 
2012.09.24,4490 ,89486 
2012.09.25,4350 ,85850 
2012.09.26,4210 ,108106 
2012.09.27,4235 ,39988 
2012.09.28,4275 ,41718 
2012.10.02,4275 ,49307 
2012.10.04,4215 ,64333 
2012.10.05,4250 ,38988 
2012.10.08,4170 ,73216 
2012.10.09,4210 ,68200 
2012.10.10,4185 ,42167 
2012.10.11,4195 ,32514 
2012.10.12,4175 ,20797 
2012.10.15,4025 ,83576 
2012.10.16,3975 ,36806 
2012.10.17,3990 ,58719 
2012.10.18,3920 ,46283 
2012.10.19,3925 ,36590 
2012.10.22,4030 ,147700 
2012.10.23,4150 ,247105 
2012.10.24,4205 ,99857 
2012.10.25,4160 ,60636 
2012.10.26,4145 ,173355 
2012.10.29,4150 ,241984 
2012.10.30,4300 ,129161 
2012.10.31,4220 ,88256 
2012.11.01,4155 ,125815 
2012.11.02,4125 ,47381 
2012.11.05,4195 ,70114 
2012.11.06,4280 ,93148 
2012.11.07,4355 ,200905 
2012.11.08,4360 ,136719 
2012.11.09,4400 ,117888 
2012.11.12,4370 ,143717 
2012.11.13,4220 ,104596 
2012.11.14,4120 ,102139 
2012.11.15,4120 ,57362 
2012.11.16,4075 ,42892 
2012.11.19,4165 ,38316 
2012.11.20,4155 ,47135 
